name,number,bonus,pct_max_bonus
Griffin Cheney,259,1000,0.0001221001221
Josh Hatcher,289,1000,0.0001221001221
Jason Franks,245,2500,0.0003052503053
Taylor Young,255,2500,0.0003052503053
Cory Acton,275,2500,0.0003052503053
Andrew Keck,305,2500,0.0003052503053
Simon Reid,315,2500,0.0003052503053
Matt Brosky,229,5000,0.0006105006105
Caleb Bolden,219,7500,0.0009157509158
Jonathan Brand,249,7500,0.0009157509158
Joe Stewart,268,7500,0.0009157509158
Matt Coutney,298,7500,0.0009157509158
Ian Churchill,308,7500,0.0009157509158
Isaac Coffey,309,7500,0.0009157509158
Murphy Stehly,291,10000,0.001221001221
Cade Gibson,292,12500,0.001526251526
Reid VanScoter,156,20000,0.002442002442
Hogan Windish,216,20000,0.002442002442
Mario Camilletti,251,20000,0.002442002442
Dylan Nedved,270,20000,0.002442002442
Dalton Shuffield,294,20000,0.002442002442
Zebulon Vermillion,299,20000,0.002442002442
Dylan Rock,248,22500,0.002747252747
Chad Castillo,272,22500,0.002747252747
Nick Hull,203,25000,0.003052503053
Griffin Doersching,240,25000,0.003052503053
Jackson Smeltz,300,25000,0.003052503053
Tanner Jacobson,307,25000,0.003052503053
Matt Hickey,457,25000,0.003052503053
Roman Phansalkar,208,27500,0.003357753358
Brandon Neeck,285,27500,0.003357753358
Alex Hoppe,189,32250,0.003937728938
Michael Turner,281,35000,0.004273504274
Tim Elko,311,35000,0.004273504274
Kyle Crigger,202,37500,0.004578754579
Cameron Foster,419,40000,0.004884004884
Dylan Phillips,238,42500,0.005189255189
Dale Stanavich,232,47500,0.0057997558
Sean Harney,254,47500,0.0057997558
Brandon Johnson,265,47500,0.0057997558
Rob Hensey,273,47500,0.0057997558
Tanner Tredaway,290,47500,0.0057997558
John Bertrand,316,47500,0.0057997558
Tatem Levins,246,50000,0.006105006105
Trevin Michael,297,50000,0.006105006105
Bill Knight,306,50000,0.006105006105
Roel Garcia,434,50000,0.006105006105
Jake Christianson,464,50000,0.006105006105
Brett Johnson,288,55000,0.006715506716
Will Brian,310,57500,0.007020757021
Ryan Jennings,128,70000,0.008547008547
