name,position,hs,fv,risk
Carson Roccaforte,CF,0,35,20
Luke Keaschall,SS,0,40,20
Jack Hurley,CF,0,40,20
Josh Rivera,SS,0,40,20
Sabin Ceballos,IF,0,40,20
Kristian Campbell,IF,0,40,20
Treyson Hughes,CF,0,40,20
Matt Shaw,IF,0,45,20
Jacob Gonzalez,SS,0,45,20
Brock Wilken,IF,0,45,20
Chase Davis,OF,0,45,20
Brice Matthews,SS,0,45,20
Tommy Troy,IF,0,50,20
Dylan Crews,CF,0,60,20
Kevin Sim,1B,0,37.5,20
Drew Bowser,IF,0,37.5,20
Ryan Lasko,CF,0,42.5,20
Mike Carico,C,0,42.5,20
Yohandy Morales,IF,0,47.5,20
CJ Kayfus,1B,0,35,80
Andrew Pinckney,OF,0,35,80
Alberto Rios,C,0,40,80
Justin Riemer,IF,0,40,80
Alex Mooney,SS,0,40,80
Enrique Bradfield Jr.,CF,0,45,80
Brayden Taylor,IF,0,45,80
Cole Foster,SS,0,37.5,80
Tre' Morgan,1B,0,37.5,80
Maui Ahuna,SS,0,42.5,80
Kyle Teel,C,0,47.5,80
Hunter Haas,SS,0,30,80
Ben Williamson,IF,0,35,50
Garrett Forrester,1B,0,35,50
Joe Refield,CF,0,35,50
Mitch Jebb,IF,0,40,50
Max Anderson,IF,0,40,50
Kemp Alderman,OF,0,40,50
Mac Horvath,OF,0,40,50
Mike Boeve,IF,0,40,50
Jake Gelof,IF,0,40,50
Cole Carrigg,CF,0,40,50
Brock Vradenburg,1B,0,40,50
Tavian Josenberger,SS,0,40,50
Christian Knapczyk,SS,0,40,50
Nolan Schanuel,1B,0,45,50
Gino Groover,IF,0,45,50
Wyatt Langford,OF,0,55,50
Colton Ledbetter,OF,0,42.5,50
Travis Honeyman,CF,0,42.5,50
Jacob Wilson,SS,0,47.5,50
Calvin Harris,C,0,30,20
Cooper Ingle,C,0,30,20
"Homer Bush, Jr.",CF,0,30,20
Roc Riggio,IF,0,30,20
Cam Fisher,OF,0,30,20
Dylan Campbell,OF,0,30,20
Jaxon Wiggins,RHP,0,40,20
Brett Banks,RHP,0,40,20
Tanner Witt,RHP,0,40,20
Caden Grice,LHP,0,40,20
Hurston Waldrep,RHP,0,50,20
Nolan McLean,RHP,0,37.5,20
George Klassen,RHP,0,37.5,20
Mario Zabala,RHP,0,37.5,20
Hunter Hollan,LHP,0,37.5,20
Kyle Carr,LHP,0,37.5,20
Zach Thornton,LHP,0,37.5,20
Cade Kuehler,RHP,0,42.5,20
Kiefer Lord,RHP,0,42.5,20
Teddy McGraw,RHP,0,42.5,20
Chase Dollander,RHP,0,47.5,20
Grant Taylor,RHP,0,40,80
Alonzo Tredwell,RHP,0,40,80
Sean Sullivan,LHP,0,40,80
